database name	url	status	statusLastUpdated	data_url	data_mimetype	manager	institution	country
ECPGR Lolium & Trifolium  Databases 	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/Lolium&Trifolium.html		2017-12-08	https://www.google.com/fusiontables/DataSource?docid=1AUsMbePHUHW_eKyNfnSxGAWEzw5sxuEwviSNYJA#rows:id=1	google fusion tables	Ian D. Thomas	Genetic Resources Unit, Institute of Biological, Environmental and Rural Sciences (IBERS)	United Kingdom
ECPGR Lupinus Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/lupinus.html	no download; no search	2017-12-08			Pawel Barzyk	Poznanska Hodowla Roslin Sp. z o.o.	Poland
ECPGR Maize Database	http://www.mrizp.rs/emdb/default-en.htm	form search; archive available upon request	2017-12-08			Violeta Andjelkovic	Maize Research Institute Zemun Polje	Serbia
ECPGR Malus Database	http://www.nationalfruitcollection.org.uk/ecpgr.php		2017-12-08	http://www.nationalfruitcollection.org.uk/data/euroappl97.zip	zip/msaccess	Matthew Ordidge	School of Biological Sciences, Harborne Building, University of Reading	United Kingdom
ECPGR Minor Forage Grasses Database	http://www.nordgen.org/ecpgr/scope/ecpgr/pages/entry_minor_grasses.html	404 page not found	2017-12-08			Anna Palmé	Nordic Genetic Resource Center	Sweden
ECPGR Minor Forage Legumes Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/minor_forage_legumes.html		2017-12-08	http://www.nodik.hu/nodik/wp-content/uploads/2013/10/MFL_ECCDB_20131009.xlsx	excel	Lajos Horváth	Center for Plant Diversity	Hungary
ECPGR Minor Fruit Trees Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/minor_fruit_trees.html		2017-12-08	http://www.unifi.it/project/ueresgen29/EMFTSD.ZIP		Edgardo Giordani	Dip. di Ortoflorofrutticoltura, Università degli Studi di Firenze	Italy
ECPGR Pepino Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=283&lang=en	not available; http://158.42.127.92/muricatum.html	2017-12-08			José Vicente Valcárcel Germes	Instituto de Conservación y Mejora de la Agrodiversidad Valenciana (COMAV), Universidad Politécnica Valencia	Spain
ECPGR Pepino Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=283&lang=en	not available; http://158.42.127.92/muricatum.html	2017-12-08			José Miguel Blanca Postigo	Instituto Universitario de Conservacion y Mejora de la Agrodiversidad Valenciana (COMAV), Universidad Politecnica de Valencia (UPV)	Spain
ECPGR Pepper Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/Crop_Databases/CROP-DATABASE-WINDOWS/pepper.html	online search only;	2017-12-08			Lerzan Gül Aykas	PGR Department, Aegean Agricultural Research Institute	Turkey
ECPGR Perennial Medicago Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/perennial_medicago.html		2017-12-08	http://www.ecpgr.cgiar.org/fileadmin/templates/ecpgr.org/upload/GERMPLASM_DBs/Medicago_perenn/Copy_of_MP2013.xlsx	excel	Aurélia Boutet	UR P3F - Unité de Recherche Pluri-disciplinaire Prairies et Plantes Fourragères 	France
ECPGR Phaseolus Database	http://www.genbank.at/en/ecpgr-phaseolus.html	form search only	2017-12-08			Wolfgang Kainz	Austrian Agency for Health and Food Safety (AGES), Dept for Plant Genetic Resources	Austria
ECPGR Phleum Database	http://www.nordgen.org/ecpgr/scope/ecpgr/pages/entry_phleum.html	404 page not found	2017-12-08			Anna Palmé	Nordic Genetic Resource Center	Sweden
ECPGR Pisum Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/pisum.html		2017-12-08	http://www.ecpgr.cgiar.org/fileadmin/templates/ecpgr.org/upload/GERMPLASM_DBs/EPDB2.xls	excel	Mike Ambrose	Department of Crop Genetics, John Innes Centre	United Kingdom
ECPGR Poa Database	http://poa.ipk-gatersleben.de/apps/epdb/index.jsp		2017-12-08	http://gbisweb.ipk-gatersleben.de/daten_download/PoaDB.zip	excel	Evelin Willner	Leibniz Institute of Plant Genetics and Crop Plant Research (IPK), Satellite Collections North	Germany
ECPGR Prunus Database	http://www.bordeaux.inra.fr/euprunusdb/index.html	online search only;	2017-12-08			Teresa Barreneche	INRA-UMR Biologie du Fruit et Pathologie, Equipe Adaptation du Cerisier au Changement Climatique (A3C)	France
ECPGR Prunus Database	http://www.bordeaux.inra.fr/euprunusdb/index.html	online search only;	2017-12-08			Marine Delmas	INRA-Unité Expérimentale Arboricole	France
ECPGR Pyrus Database	http://www.cra.wallonie.be/fr/107/the-ecp-gr-pyrus-database	french not sure about data access	2017-12-08			Marc Lateur	Centre Wallon de Recherches Agronomiques (CRA-W), Department of Life Sciences, Breeding & Biodiversity Unit	Belgium
ECPGR Pyrus Database	http://www.cra.wallonie.be/fr/107/the-ecp-gr-pyrus-database	french not sure about data access	2017-12-08			Patrick Houben	CRA-W (Centre Wallon de Recherches Agronomiques), Department of Life Sciences, Breeding & Biodiversity Unit	Belgium
ECPGR Ribes/Rubus Database	http://projektai.vu.lt/ribes-rubus/		2017-12-08	http://www.ribes-rubus.gf.vu.lt/EuroRibesECDB.xls	excel	Darius Ryliškis	Vilnius University Botanical Garden	Lithuania
ECPGR Secale Database	http://genebank.ihar.edu.pl/rye_ccdb.php	polish not sure about data access	2017-12-08			Marcin Zaczyński	Plant Breeding and Acclimatization Institute (IHAR), National Research Institute, National Centre for Plant Genetic Resources	Poland
ECPGR Tomato Database	http://ecpgr.cgn.wur.nl/tomato		2017-12-08	http://ecpgr.cgn.wur.nl/tomato/download/characterization_tomato.zip	zip/excel	Frank Menting	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
ECPGR Tomato Database	http://ecpgr.cgn.wur.nl/tomato		2017-12-08	http://ecpgr.cgn.wur.nl/tomato/download/characterization_tomato.zip	zip/excel	Willem van Dooijeweert	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
ECPGR Tree Tomato Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=282&lang=en	not available; http://158.42.127.92/cyphomandra.html	2017-12-08			José Vicente Valcárcel Germes	Instituto de Conservación y Mejora de la Agrodiversidad Valenciana (COMAV), Universidad Politécnica Valencia	Spain
ECPGR Tree Tomato Database	http://www.comav.upv.es/index.php?option=com_wrapper&view=wrapper&Itemid=282&lang=en	not available; http://158.42.127.92/cyphomandra.html	2017-12-08			José Miguel Blanca Postigo	Instituto Universitario de Conservacion y Mejora de la Agrodiversidad Valenciana (COMAV), Universidad Politecnica de Valencia (UPV)	Spain
ECPGR Trifolium subterraneum Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/trifolium_sub.html	not sure; spanish	2017-12-08			Valentin Maya Blanco	Centro de Investigaciones Científicas y Tecnológicas de Extremadura (CICYTEX), Instituto de Investigaciones Agrarias Finca “La Orden – Valdesequera”, Departamento de Produccion Forestal y Pastos	Spain
ECPGR Triticale Database	http://www.bdn.ch/etdb/	online search only;	2017-12-08			Beate Schierscher	Agroscope, Research Department in Arable Crop Plant Breeding and Genetic Resources	Switzerland
ECPGR Umbellifer Database	http://www2.warwick.ac.uk/fac/sci/lifesci/wcc/gru/eudb/		2017-12-08	https://warwick.ac.uk/fac/sci/lifesci/wcc/gru/genebank/documentation/eudb/eudb_2013.xlsx	excel	Charlotte Allender	University of Warwick, School of Life Sciences, The University of Warwick	United Kingdom
ECPGR Vicia faba Database	http://www.ecpgr.cgiar.org/Resources/germplasm_databases/list_of_germplasm_databases/crop_databases/crop_database_windows/vicia_faba.html		2017-12-08	http://www.ecpgr.cgiar.org/fileadmin/templates/ecpgr.org/upload/MISC/databases_misc/EURVICIAFABA_END2007.xlsx	excel	Gérard Duc	Institut National de la Recherche Agronomique (INRA), UMR agroécology, AgroSup/INRA/uB	France
ECPGR Vigna Database	http://www.genbank.at/en/ecpgr-vigna.html	online search only;	2017-12-08			Wolfgang Kainz	Austrian Agency for Health and Food Safety (AGES), Dept for Plant Genetic Resources	Austria
ECPGR Vitis Database	http://www.eu-vitis.de/index.php	login required	2017-12-08			Erika Maul	Julius Kühn-Institut (JKI) - Federal Research Centre for Cultivated Plants, Institute for Grapevine Breeding Geilweilerhof	Germany
ECPGR Wheat Database	http://genbank.vurv.cz/ewdb/		2017-12-08	http://genbank.vurv.cz/ewdb/asp/ewdb_export.zip		Ludmila Papoušková	Výzkumný ústav rostlinné výroby, v.v.i. Praha (VÚRV), Crop Research Institute, Gene Bank	Czech Republic
ECPGR Wild Potato Database	http://ecpgr.cgn.wur.nl/eupotato/		2017-12-08	http://ecpgr.cgn.wur.nl/eupotato/EWPD_mdb.zip	msaccess	Roel Hoekstra	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
EU-SOL BreeDB database	https://www.eu-sol.wur.nl/	not accessible; upgrade in progress	2017-12-08			Richard Finker	Wageningen UR Plant Breeding	Netherlands
Fonio (Digitaria)	http://golo.cirad.fr/CRB_T_WEB/FR/CRB_T_Collections_Fonio.awp	online search only;	2017-12-08					
Groundnut (Arachis)	http://golo.cirad.fr/CRB_T_WEB/FR/CRB_T_Collections_Arachide.awp	online search only;	2017-12-08					
International Chicory Database	http://ecpgr.cgn.wur.nl/LVintro/chicory/	list of xls	2017-12-08			Pascal Coquin	Secteur d'Etude des Variétés (Variety Study Department), Groupe d'Etude et de contrôle des Variétés Et des Semences (GEVES)	France
International Database for Beta	http://idbb.jki.bund.de/idbb/	online search only;	2017-12-08			Christoph Germeier	Julius Kühn-Institute (JKI) - Federal Centre for Cultivated Plants, Institute for Breeding Research on Agricultural Crops	Germany
International Database for Beta	http://idbb.jki.bund.de/idbb/	online search only;	2017-12-08			Lothar Frese	Julius Kühn-Institut (JKI) - Federal Research Centre for Cultivated Plants, Institute for Breeding Research on Agricultural Crops	Germany
International Lactuca Database	http://ecpgr.cgn.wur.nl/LVintro/ildb/	list of xls	2017-12-08			Rob van Treuren	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
International Lactuca Database	http://ecpgr.cgn.wur.nl/LVintro/ildb/	list of xls	2017-12-08			Frank Menting	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
International Leafy Vegetables Database	http://ecpgr.cgn.wur.nl/LVintro/	list of xls	2017-12-08					
International Minor Leafy Vegetables Database	http://ecpgr.cgn.wur.nl/LVintro/minorlv/	list of xls	2017-12-08			Ulrike Lohwasser	, Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)	Germany
International Spinach Database	http://ecpgr.cgn.wur.nl/LVintro/spinach/	list of xls	2017-12-08			Frank Menting	Centre for Genetic Resources, the Netherlands (CGN), Wageningen University and Research Centre	Netherlands
